LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-547.5725496131392,-406.31314453062765,-1916.2248708163677,-434.3098923964736,-576.9006752430444,-883.7282989375766,-3645.93666214704,-753.2149409588117,133.9658081106453,1.519896139219188,561.7146252446861,492.61891325965695,-698.292800951232,996,212.57332414998504
-389.3134919439208,72.82072452425484,-1637.0101626432463,-156.0238685103899,-509.0328318219999,-1116.671906735688,-3044.083741430419,-625.5192287745471,132.56673146704236,1.7916545640067607,1454.8711820768897,492.61891325965695,-698.292800951232,1897,215.72912015639906
-717.2542937484949,-640.9121949642908,-209.430664260552,-658.3396747332774,-702.101248785254,-810.2104684791258,-725.510935263626,-313.45102695314495,189.73741540020345,2.380633588420457,190.8552469595613,492.61891325965695,-698.292800951232,1897,218.152461116028
-1146.0986308879817,-970.6091300451318,-392.2584430670503,-1041.7956805973924,-761.2497541164842,-1041.7956805964318,-1031.784772713313,-388.8260005343005,93.94799332699714,2.068064812182418,1010.7546453054352,492.61891325965695,-698.292800951232,1897,216.47172417627092
-703.7700566301467,-565.495548971744,-1304.7420977631318,-612.6836537516058,-743.6065147556458,-1180.382016489409,-2725.849370142761,-504.8432397206935,4.692524095939945,2.315128896498805,754.9909539453578,492.61891325965695,-698.292800951232,1897,212.3535650752012
-430.4920929532884,-105.18904176728392,-1911.1929651318003,-353.4266115693409,-277.07960002488005,-1207.8491118205548,-3719.713201061663,-643.9116382257779,-6.3245439355352175,1.5256643778420345,1588.492439619928,492.61891325965695,-698.292800951232,1897,145.93379803999457
-619.216643411592,-341.4853865529693,-561.4532523353466,-341.48538655312774,-505.54184694224097,-300.2858544026116,-1294.02877162492,-262.49776883477267,167.9240295910691,1.7881252850330172,622.4034428329089,492.61891325965695,-698.292800951232,1897,213.1867196834349
-493.732980809353,-353.9964450206469,-454.305973833345,-353.9964450206475,-359.3167505163145,-514.7656444929207,-1202.9012664602033,-672.6840195899696,-42.03162877813767,1.7598769569466586,667.9725223424191,492.61891325965695,-698.292800951232,1897,221.68695214078713
-577.82713472992,-480.0560194206296,-306.7542643249318,-513.680006906844,-552.0755199712958,-877.4394944622688,-1115.6454232608733,-402.0873564555318,207.7589220225233,2.061049951989233,552.4739922002236,492.61891325965695,-698.292800951232,1897,216.33146415953235
-443.704250790079,-220.90427631928807,-439.8823954068649,-220.9042763200254,-304.8217860340593,-261.0456976473332,-1215.1492162752652,-733.6402292447526,114.227813989419,1.435701701786893,624.7750607100174,492.61891325965695,-698.292800951232,1897,222.81599065973182
