ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,LPAL,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-2455.4077782640834,-2415.603524643997,-2390.75270747506,-2998.957096385101,-4059.6936004815257,-2422.1533062697904,-984.8343132651768,7.738321410348292,4664.266395333614,-2376.8497436242305,-8637.74200496943,100
-2531.9728216318135,-2725.5395573563887,-2392.5279522200226,-2998.957096385101,-4418.722261772868,-2402.9015412488025,-912.4028813811832,8.696883971800451,4354.796276571714,-2376.8497436242305,-8637.74200496943,100
-2960.261712379412,-3230.889696371223,-2610.5214044094914,-2899.6542552698957,-2779.4048153972767,-2398.8267568731576,-65.8316867648164,14.092657303371878,3265.406443983472,-2376.8497436242305,-8637.74200496943,100
-2838.45084984505,-3426.733408971689,-2388.0596618013574,-2998.957096385101,-5615.454273589069,-2810.9520888276925,-841.9972402512834,9.318649572710667,4806.610210762422,-2376.8497436242305,-8637.74200496943,100
-2484.842940128197,-2601.2377046485626,-2487.1121875703748,-2998.957096385101,-2746.240586901085,-2408.682817070664,-148.10379280994894,13.046811789396335,5276.339835963771,-2376.8497436242305,-8637.74200496943,100
-3922.93225141283,-3408.0506581900363,-2378.825034648365,-2998.957096385101,-3770.449939438132,-2784.3595265022295,-266.66323789547914,13.627966289931727,3961.400346525283,-2376.8497436242305,-8637.74200496943,100
-3220.096727691024,-3439.7990907198973,-2438.2198732141774,-2998.957096385101,-5284.631805420988,-2410.316948170581,-164.1359800828457,13.409671138786036,4641.626003553373,-2376.8497436242305,-8637.74200496943,100
-2412.2781558419324,-2436.0067165992823,-2397.7788699528505,-2998.957096385101,-7322.865796961811,-2417.7613534742627,-629.6933398788578,10.89604414915767,4211.059128497244,-2376.8497436242305,-8637.74200496943,100
-3465.4021639958523,-3333.5745426901794,-2420.512760559676,-2917.213550410674,-3247.1947089346454,-3135.2290249165867,-167.43668971420112,13.888888950568944,3307.679628310436,-2376.8497436242305,-8637.74200496943,100
-3523.03246306683,-3397.7780335458833,-2409.8854520123678,-2998.957096385101,-6080.577581940045,-2824.9186331949986,-310.8647302481157,12.808129477143133,4827.586895601249,-2376.8497436242305,-8637.74200496943,100
-2402.4801828315826,-2388.5795529410666,-2378.7422240565506,-2702.7570303322964,-2520.67352589612,-2422.696505805859,-1923.4156940802704,2.5311270324995636,1728.4633801941236,-2376.8497436242305,-8637.74200496943,996
-2402.4801828315826,-2388.5795529410666,-2378.74222405658,-2569.931835792358,-2408.151444212933,-2422.112367700569,-1923.4156940802704,2.5311270324995636,1171.4714242056757,-2376.8497436242305,-8637.74200496943,996
-2397.660151058104,-2391.8139014936232,-2377.325608441033,-2687.2695787671237,-2489.982144149534,-2414.7285978045015,-1873.8596281044909,2.998366191889934,1690.529395823034,-2376.8497436242305,-8637.74200496943,996
-2402.4801828315826,-2388.5795529410666,-2378.7422240565597,-2508.1700402595075,-2707.580430100862,-2422.112367700569,-1923.4156940802704,2.5311270324995636,796.5419650784153,-2376.8497436242305,-8637.74200496943,996
-2438.257945885227,-2389.2048370654943,-2377.9025477790506,-2650.498529482595,-3160.616315323622,-2401.9842469463606,-1536.9941438860853,4.639945767640205,1575.0128534784924,-2376.8497436242305,-8637.74200496943,996
