LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Worst,Random,S_Cover,dataset_size
-338.91641833702226,-241.71162603336847,-2324.1473698664154,-106.53629478621231,-280.9420086405151,-170.11268974950417,-125.95559638391214,-2494.170831026456,-1622.5495720994877,2.4491357149172903,1157.8178190474296,9.626290572378087,-9414.626630182767,-2542.645914462232,15.75,100
-338.91641833702226,-241.71162603336847,-2324.1473698664154,-106.53629478621231,-280.9420086405151,-170.11268974947325,-125.95559638397455,-2494.170831026456,-1622.5495720994877,2.4491357149172903,1157.8178190474296,9.626290572378087,-9414.626630182767,-2542.645914462232,15.75,100
-338.91641833702226,-241.71162603336847,-2324.1473698664154,-106.53629478621231,-280.9420086405151,-170.11268974947325,-125.95559638397455,-2494.170831026456,-1622.5495720994877,2.4491357149172903,1157.8178190474296,9.626290572378087,-9414.626630182767,-2542.645914462232,15.75,100
-338.91641833702226,-241.71162603336847,-2324.1473698664154,-106.53629478621231,-280.9420086405151,-170.11268974947325,-125.95559638391214,-2494.170831026456,-1622.5495720994877,2.4491357149172903,1157.8178190474296,9.626290572378087,-9414.626630182767,-2542.645914462232,15.75,100
-338.91641833702226,-241.71162603336847,-2324.1473698664154,-106.53629478621231,-280.9420086405151,-170.11268974947325,-125.95559638391214,-2494.170831026456,-1622.5495720994877,2.4491357149172903,1157.8178190474296,9.626290572378087,-9414.626630182767,-2542.645914462232,15.75,100
-452.10486924042,-201.01902934316644,-2600.853148697394,-30.715344212475575,-123.51839077810206,-71.95156880711806,-106.4543426700366,-2887.0841929231806,-1662.2954045587,3.2025484497847048,1157.8178190479814,9.626290572378087,-9414.626630182767,-2542.645914462232,13.750000000000002,100
-452.10486924042,-201.01902934316644,-2600.853148697394,-30.715344212475575,-123.51849181952537,-71.95156880711806,-106.4543426700132,-2887.0841929231806,-1662.2954045587,3.2025484497847048,1157.8178190479814,9.626290572378087,-9414.626630182767,-2542.645914462232,13.750000000000002,100
-452.10486924042,-201.01902934316644,-2600.853148697394,-30.715344212475575,-123.51849181952537,-71.95156880711806,-106.4543426700366,-2887.0841929231806,-1662.2954045587,3.2025484497847048,1157.8178190479814,9.626290572378087,-9414.626630182767,-2542.645914462232,13.750000000000002,100
-452.10486924042,-201.01902934316644,-2600.853148697394,-30.715344212475575,-123.51849181952537,-71.95156880711806,-106.4543426700366,-2887.0841929231806,-1662.2954045587,3.2025484497847048,1157.8178190479814,9.626290572378087,-9414.626630182767,-2542.645914462232,13.750000000000002,100
-452.10486924042,-201.01902934316644,-2600.853148697394,-30.715344212475575,-123.51849181952537,-71.95156880711806,-106.4543426700366,-2887.0841929231806,-1662.2954045587,3.2025484497847048,1157.8178190479814,9.626290572378087,-9414.626630182767,-2542.645914462232,13.750000000000002,100
-112.52321995579736,-119.58170107285734,-1076.1943123656117,-79.87275194834365,-95.20801913322616,-11.640984890454094,-92.25804840920676,-1299.4307578640908,-656.6050389895033,0.8230274582804804,315.2216161880252,9.626290572378087,-9414.626630182767,-2542.645914462232,34.5,996
-112.52321995579736,-119.58170107285734,-1076.1943123656117,-79.87275194834365,-95.20801913322616,-11.640984890454094,-92.25804840922807,-1299.4307578640908,-656.6050389895033,0.8230274582804804,315.2216161880252,9.626290572378087,-9414.626630182767,-2542.645914462232,34.5,996
-112.52321995579736,-119.58170107285734,-1076.1943123656117,-79.87275194834365,-95.20801913323946,-11.640984890454094,-92.25804840920676,-1299.4307578640908,-656.6050389895033,0.8230274582804804,315.2216161880252,9.626290572378087,-9414.626630182767,-2542.645914462232,34.5,996
-112.52321995579736,-119.58170107285734,-1076.1943123659937,-79.87275194834365,-95.20801913322616,-11.640984890454094,-92.25804840920676,-1299.4307578640908,-656.6050389895033,0.8230274582804804,315.2216161880252,9.626290572378087,-9414.626630182767,-2542.645914462232,34.5,996
-112.52321995579736,-119.58170107285734,-1076.1943123656117,-79.87275194834365,-95.20801913322616,-11.640984890454094,-92.25804840920695,-1299.4307578640908,-656.6050389895033,0.8230274582804804,315.2216161880252,9.626290572378087,-9414.626630182767,-2542.645914462232,34.5,996
-29.057534349078256,-65.8687855023798,-1872.042952094409,-77.49418172876544,-35.123792504843195,-53.201295780020686,-110.14561065558703,-1416.8728359508143,-724.3575296968055,0.7263806680509877,315.22161618618964,9.626290572378087,-9414.626630182767,-2542.645914462232,32.5,996
