LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Worst,Random,S_Cover,dataset_size
-119.0424829255957,-103.68990030992957,-110.45624804091518,-103.62000446379577,-102.52992924376676,-103.77953481857935,-104.63119205853056,-113.005845127047,-110.62811944976276,0.0354361817928845,46.57940857926709,-99.91376383532076,-129.4866017023931,-112.84482070120782,15.25,100
-119.0424829255957,-103.68990030992957,-110.45624804091518,-103.62000446379619,-102.5299292437663,-103.77953481857935,-104.63119205853056,-113.005845127047,-110.62811944976276,0.0354361817928845,46.57940857926709,-99.91376383532076,-129.4866017023931,-112.84482070120782,15.25,100
-119.0424829255957,-103.68990030992957,-110.45624804091936,-103.62000446379619,-102.52992924376676,-103.77953481857935,-104.63119205853056,-113.005845127047,-110.62811944976276,0.0354361817928845,46.57940857926709,-99.91376383532076,-129.4866017023931,-112.84482070120782,15.25,100
-119.0424829255957,-103.68990030992957,-110.45624804091518,-103.62000446379619,-102.5299292437663,-103.77953481857935,-104.63119205853056,-113.005845127047,-110.62811944976276,0.0354361817928845,46.57940857926709,-99.91376383532076,-129.4866017023931,-112.84482070120782,15.25,100
-119.0424829255957,-103.68990030992957,-110.45624804091518,-103.62000446379619,-102.52992924376676,-103.77953481857935,-104.63119205853056,-113.005845127047,-110.62811944976276,0.0354361817928845,46.57940857926709,-99.91376383532076,-129.4866017023931,-112.84482070120782,15.25,100
-111.699885121272,-108.43121193298522,-112.39024842150218,-114.56902212661511,-111.44213232570728,-108.97901760342603,-107.3035707964995,-113.21674095177964,-111.90333261512866,0.0355863072721248,20.84892084206012,-99.91376383532076,-129.4866017023931,-112.84482070120782,9.0,100
-111.699885121272,-108.43121193298522,-112.39024842150218,-114.56902212661511,-111.44213232570728,-108.97901760342603,-107.3035707964995,-113.21674095177964,-111.90333261512866,0.0355863072721248,20.84892084206012,-99.91376383532076,-129.4866017023931,-112.84482070120782,9.0,100
-111.699885121272,-108.43121193298522,-112.39024842150218,-114.56902212661511,-111.44213232570728,-108.97901760342603,-107.3035707964995,-113.21674095177964,-111.90333261512866,0.0355863072721248,20.84892084206012,-99.91376383532076,-129.4866017023931,-112.84482070120782,9.0,100
-111.699885121272,-108.43121193298522,-112.39024842150218,-114.56902212661511,-111.44213232570728,-108.97901760342603,-107.3035707964995,-113.21674095177964,-111.90333261512866,0.0355863072721248,20.84892084206012,-99.91376383532076,-129.4866017023931,-112.84482070120782,9.0,100
-111.699885121272,-108.43121193298522,-112.39024842150218,-114.56902212661511,-111.44213232570728,-108.97901760342603,-107.3035707964995,-113.21674095177964,-111.90333261512866,0.0355863072721248,20.84892084206012,-99.91376383532076,-129.4866017023931,-112.84482070120782,9.0,100
-104.43100143525152,-110.31516002793896,-104.55326290194338,-109.68205313158258,-104.16751221579455,-109.0218528877416,-109.85659056438047,-112.51942028408612,-107.465799525246,0.0338611789640183,45.92992225287391,-99.91376383532076,-129.4866017023931,-112.84482070120782,57.49999999999999,996
-104.43100143525152,-110.31516002793896,-104.55326290194338,-109.68205313158258,-104.16751221579455,-109.0218528877416,-109.85659056438047,-112.51942028408612,-107.465799525246,0.0338611789640183,45.92992225287391,-99.91376383532076,-129.4866017023931,-112.84482070120782,57.49999999999999,996
-104.43100143525152,-110.31516002793896,-104.55326290194338,-109.68205313158258,-104.16751221579455,-109.0218528877416,-109.85659056438047,-112.51942028408612,-107.465799525246,0.0338611789640183,45.92992225287391,-99.91376383532076,-129.4866017023931,-112.84482070120782,57.49999999999999,996
-104.43100143525152,-110.31516002793896,-104.55326290194338,-109.682053132079,-104.16751221579455,-109.0218528877416,-109.85659056438047,-112.51942028408612,-107.465799525246,0.0338611789640183,45.92992225287391,-99.91376383532076,-129.4866017023931,-112.84482070120782,57.49999999999999,996
-104.43100143525152,-110.31516002793896,-104.55326290194338,-109.68205313158258,-104.16751221579455,-109.0218528877416,-109.85659056438047,-112.51942028408612,-107.465799525246,0.0338611789640183,45.92992225287391,-99.91376383532076,-129.4866017023931,-112.84482070120782,57.49999999999999,996
-109.71601750203268,-105.67196875765714,-108.10070220673764,-107.45720829680508,-107.13174867624589,-104.96187992494839,-101.44089576965067,-112.44453031097122,-106.09632694922188,0.0388320102973738,130.41420076063775,-99.91376383532076,-129.4866017023931,-112.84482070120782,63.24999999999999,996
-109.71601750203268,-105.67196875765714,-108.1007022067443,-107.45720829680508,-107.13174867624589,-104.96187992494639,-101.44089576965067,-112.44453031097122,-106.09632694922188,0.0388320102973738,130.41420076063775,-99.91376383532076,-129.4866017023931,-112.84482070120782,63.24999999999999,996
-109.71601750203268,-105.67196875765714,-108.10070220673764,-107.45720829680508,-107.13174867624589,-104.96187992494639,-101.44089576965067,-112.44453031097122,-106.09632694922188,0.0388320102973738,130.41420076063775,-99.91376383532076,-129.4866017023931,-112.84482070120782,63.24999999999999,996
-109.71601750203268,-105.67196875765714,-108.10070220673764,-107.45720829680508,-107.13174867624589,-104.96187992494639,-101.44089576965067,-112.44453031097122,-106.09632694922188,0.0388320102973738,130.41420076063775,-99.91376383532076,-129.4866017023931,-112.84482070120782,63.24999999999999,996
-109.71601750203268,-105.67196875765714,-108.10070220673764,-107.45720829680508,-107.13174867624589,-104.96187992494812,-101.44089576965067,-112.44453031097122,-106.09632694922188,0.0388320102973738,130.41420076063775,-99.91376383532076,-129.4866017023931,-112.84482070120782,63.24999999999999,996
