LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-4090.618243717155,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.45838791855465,-672.5953412050312,-223.40436398077526,6.572520305780927e-14,13051.552171951147,-223.40436398077708,-4316.422010517257,4600
-4940.604766665827,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-240.27940427423255,-677.3240376069269,-223.40436398077526,6.572520305780927e-14,16363.167071947293,-223.40436398077708,-4316.422010517257,4600
-4497.790344435066,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-236.33406714666822,-676.3702563663632,-223.40436398077526,6.572520305780927e-14,14889.134448896224,-223.40436398077708,-4316.422010517257,4600
-4424.083622636358,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-674.2711149265904,-223.40436398077526,6.572520305780927e-14,14330.64634753227,-223.40436398077708,-4316.422010517257,4600
-4609.620381581415,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.08422759301158,-677.3855223119767,-223.40436398077526,6.572520305780927e-14,15033.788368911184,-223.40436398077708,-4316.422010517257,4600
-4806.83552573767,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.43520829092486,-673.9798907160767,-223.40436398077526,6.572520305780927e-14,15679.878536245353,-223.40436398077708,-4316.422010517257,4600
-4653.388447671977,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,15279.844468052133,-223.40436398077708,-4316.422010517257,5496
-4619.995183165147,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.7287492987242,-676.21759928727,-223.40436398077526,6.572520305780927e-14,15199.284333378895,-223.40436398077708,-4316.422010517257,5496
-3907.981453819054,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-677.4960128228131,-223.40436398077526,6.572520305780927e-14,12637.725775017265,-223.40436398077708,-4316.422010517257,5496
-3842.7221632680134,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-672.3982606894367,-223.40436398077526,6.572520305780927e-14,12525.88083971696,-223.40436398077708,-4316.422010517257,5496
-4237.057511911235,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.43723557554202,-677.5854370450539,-223.40436398077526,6.572520305780927e-14,13636.406857911472,-223.40436398077708,-4316.422010517257,5496
-4137.389212608141,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-243.25975163597533,-676.051607570719,-223.40436398077526,6.572520305780927e-14,13517.427361228973,-223.40436398077708,-4316.422010517257,5496
-4703.892859573321,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.4199250576834,-677.4707043092299,-223.40436398077526,6.572520305780927e-14,15223.079217168524,-223.40436398077708,-4316.422010517257,5496
-4604.888973308392,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-235.76501927560045,-675.288572931268,-223.40436398077526,6.572520305780927e-14,15072.368401043888,-223.40436398077708,-4316.422010517257,5496
-3782.04632989047,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-675.5806443862923,-223.40436398077526,6.572520305780927e-14,11794.283396045335,-223.40436398077708,-4316.422010517257,5496
-4525.817019139684,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-673.3227798264714,-223.40436398077526,6.572520305780927e-14,14714.11123772621,-223.40436398077708,-4316.422010517257,5496
-4095.4896284836395,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,13334.593956568628,-223.40436398077708,-4316.422010517257,6400
-4600.952952284456,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-674.4385757155045,-223.40436398077526,6.572520305780927e-14,15085.638479435514,-223.40436398077708,-4316.422010517257,6400
-4660.515625590993,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-237.49217459975864,-677.2050857802881,-223.40436398077526,6.572520305780927e-14,15483.940037722614,-223.40436398077708,-4316.422010517257,6400
-4582.359061065646,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.61504451474235,-674.3440819150353,-223.40436398077526,6.572520305780927e-14,15317.711745436132,-223.40436398077708,-4316.422010517257,6400
-4496.429338058726,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-674.0857416994654,-223.40436398077526,6.572520305780927e-14,15092.131718514796,-223.40436398077708,-4316.422010517257,6400
-4360.246867938861,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.71551877266864,-677.8638842305024,-223.40436398077526,6.572520305780927e-14,14076.200300153265,-223.40436398077708,-4316.422010517257,6400
-4203.681212338698,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-680.2782683099483,-223.40436398077526,6.572520305780927e-14,13543.497213160206,-223.40436398077708,-4316.422010517257,6400
-3989.5318826632674,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.4637308956356,-679.9803447584359,-223.40436398077526,6.572520305780927e-14,12774.741801323595,-223.40436398077708,-4316.422010517257,6400
-4699.210147352238,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-677.2369186745958,-223.40436398077526,6.572520305780927e-14,15441.807510438995,-223.40436398077708,-4316.422010517257,6400
-4753.708221748882,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.56772211411675,-678.3114863413987,-223.40436398077526,6.572520305780927e-14,15751.999546377061,-223.40436398077708,-4316.422010517257,6400
-4304.902603102058,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-675.9067323184549,-223.40436398077526,6.572520305780927e-14,13860.371632151513,-223.40436398077708,-4316.422010517257,7296
-4503.23787998847,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.9016733963183,-677.3927587578994,-223.40436398077526,6.572520305780927e-14,14912.414492242835,-223.40436398077708,-4316.422010517257,7296
-3998.280060308273,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-236.79155983122453,-668.7295224196363,-223.40436398077526,6.572520305780927e-14,12710.407205244896,-223.40436398077708,-4316.422010517257,7296
-4246.166294514636,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-673.7851465750707,-223.40436398077526,6.572520305780927e-14,13699.164608241352,-223.40436398077708,-4316.422010517257,7296
-4747.445085398172,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-418.0210265997146,-674.3270180055608,-223.40436398077526,6.572520305780927e-14,15614.33557806247,-223.40436398077708,-4316.422010517257,7296
-4225.637762486546,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-673.269200895192,-223.40436398077526,6.572520305780927e-14,13803.864999836005,-223.40436398077708,-4316.422010517257,7296
-4003.7805389294977,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-674.7853203490288,-223.40436398077526,6.572520305780927e-14,12684.150367065598,-223.40436398077708,-4316.422010517257,7296
