ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,LPAL,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-3815.673096126448,-158.60384558268728,-158.60384558048443,-144.8980211319542,-1770.0508478503407,-504.34626414763994,7.085448781161426,7.0352928763052525,585.4661572214104,-143.838800635012,-4219.678272627491,100
-3073.8934426544065,-158.81682944699637,-158.80383115878465,-144.8980211318317,-2436.67088188282,-494.44007258081393,4.6625920117678525,7.02959210284947,376.8377168588885,-143.838800635012,-4219.678272627491,100
-4619.560601299869,-158.71828218058366,-158.53732880178674,-144.8980211318317,-3424.3837677190745,-483.87574946589433,0.11392648935194072,7.3794167680346625,376.8377168588885,-143.838800635012,-4219.678272627491,100
-3630.3735483366754,-158.4794647865191,-158.47946478571444,-144.8980211319542,-4490.180657192664,-523.7487635255789,6.502207112012145,7.094818858337934,585.4661572214104,-143.838800635012,-4219.678272627491,100
-4681.506792397639,-158.45019848037666,-158.65688979889546,-144.8980211319542,-3398.9124164510176,-735.9772494650019,2.319039054476901,7.438084220755936,585.4661572214104,-143.838800635012,-4219.678272627491,100
-4533.1631285760195,-158.58807757248948,-158.58807757331041,-144.8980211319542,-4729.6661499194515,-466.96251055115994,1.811368838192344,7.462329781150861,585.4661572214104,-143.838800635012,-4219.678272627491,100
-3159.2910591227537,-158.5618524558072,-158.56185245498182,-144.8980211319542,-4088.6616383165388,-403.7546192918387,9.121713616045621,6.8463849184334125,585.4661572214104,-143.838800635012,-4219.678272627491,100
-3867.5621713654496,-158.89385581014298,-158.8938558100541,-144.8980211318317,-3956.8253024711307,-460.7328861477582,-0.36494300029981397,7.0453816014763735,366.0859014716684,-143.838800635012,-4219.678272627491,100
-3114.6874683069736,-158.80063782615656,-158.20728769957526,-144.8980211318317,-3094.5832606532376,-576.0238023360929,6.99707747082553,6.987942964653916,366.0859014716684,-143.838800635012,-4219.678272627491,100
-4053.754345853121,-158.2616176094104,-158.26161760907627,-144.8980211318317,-2848.1695490612456,-527.3884550958859,0.48933526578484654,7.322812482931471,389.0466220196057,-143.838800635012,-4219.678272627491,100
-1418.8173248087398,-158.4462504285572,-158.27224727980507,-144.89802113238753,-1312.5769061769834,-441.18672558213285,-25.90555575634314,4.614608059157859,245.64870171661528,-143.838800635012,-4219.678272627491,996
-1087.6557355600112,-153.3487820641905,-153.3487820705226,-144.8980211318317,-1445.5818639426955,-435.1625311032403,-48.50125253719862,3.965615133311351,115.77342199188578,-143.838800635012,-4219.678272627491,996
-1544.1964512340503,-209.4309073895633,-210.1265603659627,-249.1025855084071,-1234.2566941278878,-436.955776471263,-29.26033205443028,4.627376167682224,164.49205656356793,-143.838800635012,-4219.678272627491,996
-2049.373853389932,-158.12771871191222,-149.62746121813692,-144.89802113238753,-1453.6397338682034,-417.9907820281925,-24.275729317381916,5.326083429487075,190.73658166071147,-143.838800635012,-4219.678272627491,996
-2094.121745848187,-158.60518492044548,-158.6051849229299,-144.8980211318317,-2155.6003448977813,-442.6714001851798,-19.96503483372965,5.0728672444596645,284.4151271378345,-143.838800635012,-4219.678272627491,996
-1679.6528022591376,-152.57179403521528,-152.57179403614074,-144.8980211318317,-1190.493428250315,-422.5509434291461,-20.228615295346348,4.992145910657985,325.48729366478517,-143.838800635012,-4219.678272627491,996
-1915.0200735831343,-153.5061796074761,-153.50617960746993,-144.8980211318317,-1124.2023881874754,-409.3470647707099,-18.768641847795006,5.3611706133508275,289.6174478932374,-143.838800635012,-4219.678272627491,996
-1181.5510270874838,-344.3483474603519,-344.40233438594146,-309.3912265407153,-744.246019704938,-415.955379510809,-38.78343728961812,4.38834360446794,496.4570541465176,-143.838800635012,-4219.678272627491,996
-1273.9387285863606,-158.89316414440992,-158.25050696870537,-144.8980211318317,-1840.3884078496412,-449.83113654940774,-29.940953310151045,4.589604788262152,282.32717178883536,-143.838800635012,-4219.678272627491,996
-1451.9864724682527,-158.59081258810627,-156.63317628292936,-144.8980211318317,-702.1148574762452,-440.8944956636569,-26.37992281827251,4.905664937888812,316.96672747023524,-143.838800635012,-4219.678272627491,996
-928.8040085300025,-170.1043618723325,-160.12237395448398,-169.92294569433733,-668.4950091955163,-438.5064805494307,-37.05287038144727,3.8126656810215644,39.623838801349365,-143.838800635012,-4219.678272627491,1897
