ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,LPAL,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-1810.7587846037661,-1371.1908217627006,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,1497.365017856359,-1290.6437646661664,-8623.968432667481,100
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-1883.0169187920242,-1726.9152803312754,-1988.378161800567,-1290.6437646661611,6.750155989720952e-14,1470.45735751613,-1290.6437646661664,-8623.968432667481,100
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-6611.6806627664755,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,12192.31797232406,-1290.6437646661664,-8623.968432667481,996
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-7056.324521791391,-1290.643764666161,-1987.6385635647025,-1290.6437646661611,6.750155989720952e-14,13355.811268827518,-1290.6437646661664,-8623.968432667481,996
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8306.539241234117,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,16079.006826735913,-1290.6437646661664,-8623.968432667481,1897
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8371.751528092838,-1290.643764666161,-1987.6832976462829,-1290.6437646661611,6.750155989720952e-14,16237.926640066557,-1290.6437646661664,-8623.968432667481,1897
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8691.665530344306,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,17050.961115059195,-1290.6437646661664,-8623.968432667481,2800
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8603.294622627798,-1290.643764666161,-1987.6832976462829,-1290.6437646661611,6.750155989720952e-14,16719.76410991579,-1290.6437646661664,-8623.968432667481,2800
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8419.455752593518,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,16181.33179871233,-1290.6437646661664,-8623.968432667481,3696
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8777.248739291124,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,16978.002978104014,-1290.6437646661664,-8623.968432667481,3696
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8503.714524780786,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,16500.024960845258,-1290.6437646661664,-8623.968432667481,4600
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8617.596884292461,-1290.643764666161,-1987.6832976462829,-1290.6437646661611,6.750155989720952e-14,16602.463836461848,-1290.6437646661664,-8623.968432667481,4600
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8766.194402860625,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,16995.573550183566,-1290.6437646661664,-8623.968432667481,5496
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8971.2283078404,-1290.643764666161,-1988.2596604999578,-1290.6437646661611,6.750155989720952e-14,17768.707801640903,-1290.6437646661664,-8623.968432667481,5496
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-7689.237137450535,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,14518.465377270322,-1290.6437646661664,-8623.968432667481,6400
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8760.983397773363,-1290.643764666161,-1987.8119701041967,-1290.6437646661611,6.750155989720952e-14,17178.099769971293,-1290.6437646661664,-8623.968432667481,6400
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8427.334408210063,-1290.643764666161,-1987.1511592114996,-1290.6437646661611,6.750155989720952e-14,16395.45773064322,-1290.6437646661664,-8623.968432667481,7296
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8301.441030756692,-1290.643764666161,-1987.6832976462829,-1290.6437646661611,6.750155989720952e-14,16056.355794176288,-1290.6437646661664,-8623.968432667481,7296
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8546.712728132592,-1290.643764666161,-1988.378161800567,-1290.6437646661611,6.750155989720952e-14,16583.719827536162,-1290.6437646661664,-8623.968432667481,8199
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8352.636040210624,-1290.643764666161,-1988.2596604999578,-1290.6437646661611,6.750155989720952e-14,16130.23556926289,-1290.6437646661664,-8623.968432667481,8199
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8993.934021243644,-1290.643764666161,-1988.378161800567,-1290.6437646661611,6.750155989720952e-14,17612.494289491387,-1290.6437646661664,-8623.968432667481,9099
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8536.471982297857,-1290.643764666161,-1988.2596604999578,-1290.6437646661611,6.750155989720952e-14,16430.244917456177,-1290.6437646661664,-8623.968432667481,9099
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8327.895019925527,-1290.643764666161,-1988.378161800567,-1290.6437646661611,6.750155989720952e-14,16122.891513220397,-1290.6437646661664,-8623.968432667481,9999
-1290.6437646661723,-1290.64376466607,-1290.6437646660781,-8482.471026738362,-1290.643764666161,-1988.2596604999578,-1290.6437646661611,6.750155989720952e-14,16323.123783632316,-1290.6437646661664,-8623.968432667481,9999
