LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-344.63331360053724,-179.8820723612129,-4253.447766258794,-472.5976471925076,-472.59764719250984,-787.4264863731134,-7826.414008535085,-1878.7699537399403,-4619.310678866723,3.4348479005207615,1104.1490984405668,172.43727488349717,-1980.0183277064302,100
-306.223191703765,-100.13291983024538,-4427.74566761866,-268.5507877296956,-269.61961521644406,-421.93478804444766,-8142.555341570834,-2117.7107321207354,-5009.251521624011,3.6743365943408763,1104.1490984391662,172.43727488349717,-1980.0183277064302,100
-235.88522862676572,-67.2229660469122,-3682.8482163341423,-409.6042792160312,-409.60427921602525,-1012.4709562971279,-7612.262503614324,-1937.5198802467482,-5207.869636253086,3.6729252320221555,1104.149098441338,172.43727488349717,-1980.0183277064302,100
-120.00499868294835,-207.40145353831082,-4410.995933005404,-245.25056213934192,-246.30431347668167,-597.8440391873819,-8933.536060405979,-2100.1630419520493,-4935.667679478859,3.6935497840020455,1104.1490984410648,172.43727488349717,-1980.0183277064302,100
-529.9582132519328,-533.9349598509087,-3265.5603881274396,-868.880233907332,-868.8802339073814,-1504.3684818477996,-5580.640781244226,-2128.305516656068,-1803.7089510821047,3.3432213686472343,1104.14909844073,172.43727488349717,-1980.0183277064302,100
-403.25321165188825,-410.21241472917484,-2659.882864888243,-714.5184933973678,-714.5184933973678,-1346.0613345241154,-4711.366625807869,-2228.8108551482187,-2609.692493452131,3.3964959225473184,1104.1490984404932,172.43727488349717,-1980.0183277064302,100
-265.4581537575043,-27.35826586397163,-3629.3326495588867,-238.6640784080176,-238.6787484854902,-328.39055925023445,-6493.5413970536665,-1996.6423912609007,-4127.958061438564,3.39935201993475,1104.1490984392678,172.43727488349717,-1980.0183277064302,100
-126.08931413406096,-14.818886852418053,-2832.635236012611,-326.35070440716254,-327.50735683325297,-876.9012020935724,-5099.8816203590695,-2226.0615072363335,-2685.766469920478,3.6331806603884007,1104.1490984405152,172.43727488349717,-1980.0183277064302,100
-194.42376280151424,-56.25301601550063,-3264.8905535590484,-349.0150965288037,-349.01509652879923,-685.9619636931651,-5930.463718511746,-2388.3208458683976,-4530.115297210534,3.472539730326373,1104.1490984399677,172.43727488349717,-1980.0183277064302,100
-217.33065068312328,-76.03541713790312,-3751.7814009297203,-317.80692445647617,-318.96149190880874,-612.8342499379823,-6743.924984248013,-1691.9476553386237,-4754.364620445155,3.5635847142860473,1104.149098440485,172.43727488349717,-1980.0183277064302,100
-1584.6353794646582,-890.4402419712542,-373.12736434569854,-890.4402419712542,-731.2772358571212,-890.4402419712542,-767.06385943551,-856.4963094741505,-159.76524814599063,4.879189214888535,2322.5044577987114,172.43727488349717,-1980.0183277064302,996
-1153.674826276596,52.491667634772085,113.17635713291824,52.49166763473137,113.17635713286042,52.491667634772085,57.056933723733366,-318.0211071081105,137.53430701583324,0.21270780735371908,4278.67882612769,172.43727488349717,-1980.0183277064302,996
-2035.9322966614998,-255.73383400635697,-46.22589530427616,-255.73383400635697,-46.225895304265386,-255.73383400635697,-220.17404351725648,-1064.819099608584,26.14729721132144,4.803639498563097,5770.505001388199,172.43727488349717,-1980.0183277064302,996
-1119.9709209981556,-171.6104254786062,-17.558496759959233,-171.6104254786062,-17.558496759978624,-171.6104254786062,-142.81048189451417,-685.5155193323006,32.107177719530895,0.6361840547569371,3233.5478146910827,172.43727488349717,-1980.0183277064302,996
-1240.4508511710087,122.47434601306425,148.61824994913002,122.47434601338685,148.61824994914952,122.47434601338685,128.24344957012258,-177.1175929597383,154.82979027083388,3.7694386100412216,4586.686385890872,172.43727488349717,-1980.0183277064302,996
-1172.536714928963,1.9103265086594945,87.20465916618014,1.9103265086594945,87.20465916631852,1.9103265086594945,7.171565947661534,-197.66469804066384,100.1881285329454,1.833114940530732,4201.235128624534,172.43727488349717,-1980.0183277064302,996
-1212.490531449711,-141.28377471758728,16.49967240609439,-141.28377472629342,16.49967240591741,-141.28377471758728,-134.22519521922644,-825.6853954250381,117.87108426366089,3.8317284489758685,3766.79683706874,172.43727488349717,-1980.0183277064302,996
-946.2834940366765,-928.1672302730481,-1225.4367623442474,-1035.0728635409068,-1034.277898181209,-1112.5016689754063,-2599.6603776886614,-914.8491320233875,-1463.2487967982502,1.2394631802626872,266.3681085137913,172.43727488349717,-1980.0183277064302,996
-1497.8165596639797,-489.54744826812566,-149.43228741172612,-489.54744826812566,-227.79150830660933,-489.54744826812566,-450.00721134791945,-424.318187181012,-43.48202588572752,4.103200917539835,3652.8684417313552,172.43727488349717,-1980.0183277064302,996
-1000.0658883261318,-994.3889240051595,-1440.363384286356,-1088.855257830288,-1101.1590635216019,-1140.2019243182012,-3083.814934178601,-837.5541539622851,-1714.6337389369635,1.4038334189829849,266.36810851338726,172.43727488349717,-1980.0183277064302,996
-1785.1719173796432,162.95770257682216,167.36071031450751,162.95770257682216,167.36071031449447,162.95770257682216,164.1177940197491,-354.36632245727606,168.15199516961496,0.37415787603950873,6684.84523356811,172.43727488349717,-1980.0183277064302,1897
-1403.7883891763606,9.046867180432237,97.00901897176107,9.046867180432237,97.00901897184262,9.046867180384282,19.92597559997886,-51.036492184706375,91.6133984366667,0.6843497702945144,4862.621178279117,172.43727488349717,-1980.0183277064302,1897
-2030.9500050825689,162.1670878720787,167.23350737922038,162.1670878720787,167.2335073791687,162.1670878720787,161.7488599668826,-94.8343024697963,172.39599649457844,0.010364718217377823,7718.780146645795,172.43727488349717,-1980.0183277064302,1897
-1791.0191884526944,168.14468449374172,170.37272829732268,168.14468449374172,170.3727282973199,168.14468449374172,168.86966666905386,-229.25440013103892,168.2776365314014,0.5876888221240284,6654.25506271806,172.43727488349717,-1980.0183277064302,1897
-1524.23073355818,57.45385035957109,117.1261993575031,57.45385035957109,117.12619935754292,57.45385035957109,66.57139076300209,-541.2908057202013,121.01587316359755,0.30591040874830205,5544.331171339879,172.43727488349717,-1980.0183277064302,1897
-1550.191166207676,165.9954741118616,168.9782939694506,165.9954741118616,168.97829396949848,165.9954741118616,167.91990702101185,-184.04204093902777,167.78379168706027,0.22574496281907336,6043.788594938221,172.43727488349717,-1980.0183277064302,1897
-1826.16434183704,157.3283146464882,164.72404382691053,157.3283146464882,164.7240438269593,157.3283146464882,160.21978928802264,-85.0961396522107,166.1496171300487,0.7185871457258994,6810.075334207766,172.43727488349717,-1980.0183277064302,1897
-2462.003727883089,170.39890471581066,171.48116727447467,170.39890471581066,171.48116727447703,170.39890471581066,171.90229385155584,-398.56546143410685,170.37394118231185,1.7000845468880583,9372.888199902305,172.43727488349717,-1980.0183277064302,1897
-2089.855338407255,172.20265351574932,172.31968916464484,172.20265351574932,172.31968916467127,172.20265351574932,172.2519251388381,-143.88456895856703,172.20234512131753,0.010581559315716735,7580.809791024109,172.43727488349717,-1980.0183277064302,1897
