LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Worst,Random,S_Cover,dataset_size
64.22039852866473,-82.58683991644016,-3040.7783433846907,-501.34744949016647,-217.82337421788276,228.75901461069972,-6385.261009825211,-1605.7875939347887,-1063.3800991738265,2.3677425838807475,1703.815336785745,255.12260426468913,-8381.177043277405,-1542.5381750855977,10.888888888888888,100
63.19701390132255,48.236153947392104,-1203.1964705031899,101.18333877102499,-204.33369395412583,-252.5404601757609,-6313.833575165266,-1483.966002194858,-1247.008075447142,2.2876700060186246,1703.8153367850155,255.12260426468913,-8381.177043277405,-1542.5381750855977,11.11111111111111,100
75.341928548322,-63.28073042722896,-3326.7892644540366,-531.1527458683553,-475.90962921835,230.20979100344636,-5800.3460771385535,-1569.2331014212864,-930.8702882614974,2.2224950889271775,1703.815336796304,255.12260426468913,-8381.177043277405,-1542.5381750855977,11.11111111111111,100
53.27913010387161,-401.390861617954,-2884.2950406932396,-581.138234641004,-463.63020414861035,-453.90957094096217,88.10812265488266,-1615.2001092304092,-1162.6821647150896,2.4328541034020548,1703.8153367868542,255.12260426468913,-8381.177043277405,-1542.5381750855977,10.888888888888888,100
106.30953083079582,-14.44423465681476,-1281.5612416761196,-506.8382430469975,-540.8771848678277,-1689.7947402373693,-6691.10346583967,-1526.9578977022472,-1284.8775226936182,2.3460943424548812,1703.8153367982975,255.12260426468913,-8381.177043277405,-1542.5381750855977,11.0,100
-292.0532105757684,-49.76765594550048,-33.03514168902896,-398.62772724493755,88.55554801805626,215.3500227048962,167.8588876198264,-1566.1976082937813,-1324.166480720963,2.2985024564297616,1703.8153367858854,255.12260426468913,-8381.177043277405,-1542.5381750855977,9.88888888888889,100
82.76475255908089,-224.08849958120902,168.1209198701407,231.90101489993197,-455.6106776200009,-685.6406567167481,-7236.575430128997,-1510.4100751834583,-1344.4774970669196,2.442804720146155,1703.8153367839482,255.12260426468913,-8381.177043277405,-1542.5381750855977,10.888888888888888,100
-146.98553380293393,129.51603838089943,-3241.5343877725004,-110.95436714508602,-78.14413555630755,-1265.1939999431813,116.86784553360607,-1682.4010425847832,-1159.4095345461442,2.4065593225321606,1703.8153367861023,255.12260426468913,-8381.177043277405,-1542.5381750855977,11.11111111111111,100
-189.17773623260769,-162.78084267390201,-2345.8517764550447,-486.22853478334315,71.82884662925727,244.06826587290638,-935.3732280176313,-1431.0570090973658,-1295.5512392802127,2.2918964204207732,1703.8153367900481,255.12260426468913,-8381.177043277405,-1542.5381750855977,10.11111111111111,100
119.24083701150597,-15.37903182784674,-2318.8710604062103,-551.2007360788062,-435.728193945653,205.4994154768691,7.7463475867649825,-1466.522642238788,-1080.3765638763748,2.457191206125934,1703.8153367855152,255.12260426468913,-8381.177043277405,-1542.5381750855977,10.888888888888888,100
-925.7497763189825,-614.8999013679949,-2604.5451557733827,-1007.6385587442904,239.73498655138715,-1793.5453252681205,25.99100760058149,-1592.1269716460938,-204.96005044206325,3.2219565203537113,976.1206557692634,255.12260426468913,-8381.177043277405,-1542.5381750855977,61.33333333333333,996
-1365.9518731307235,-966.1277379471532,-1014.0018001799871,-1362.1909410398248,-1050.0545397356116,-1501.341768852224,-121.4929404859224,-783.2564133130386,-410.42854593801854,2.7361612252042287,977.0889006577992,255.12260426468913,-8381.177043277405,-1542.5381750855977,65.22222222222223,996
-1321.1208857139202,-1273.8826474899608,-1237.976116240173,-76.95673420577795,-1219.808475444289,-1492.5067193910877,-2457.602236181161,-1531.7336217063116,-71.7577861750255,3.084418561084809,445.855766882367,255.12260426468913,-8381.177043277405,-1542.5381750855977,66.66666666666666,996
-1308.5623199259662,-1219.3571966425852,-791.6458925093958,-573.2662961128974,-774.652760988059,-1683.7109736976183,-3501.8789597520513,-1199.1171771629076,-111.93673230868477,2.714697496810069,585.7174927628674,255.12260426468913,-8381.177043277405,-1542.5381750855977,63.888888888888886,996
-617.7707207124209,-601.3071847928215,-666.4710656420858,-706.0015166400348,-632.3164847986062,-418.3765189342884,87.27381736815394,-1194.0735407560433,-13.953499183390804,3.0732716444508412,449.6915781531245,255.12260426468913,-8381.177043277405,-1542.5381750855977,65.22222222222223,996
-1247.7207827052528,-1242.928308994376,-188.14588053188984,-1338.3947280461148,-1325.1450619868672,129.8682699645728,-1286.3171959102692,-998.159372920112,145.39791495304956,3.394423920887158,399.49115402580685,255.12260426468913,-8381.177043277405,-1542.5381750855977,68.0,996
-1189.2875080627857,-1175.0722280403475,-184.82479304827226,104.88935876586316,-1202.3120751054419,52.205553284392515,-1264.5241840745825,-1275.7333433750673,-104.12188207987688,2.968476073790271,399.49115402604707,255.12260426468913,-8381.177043277405,-1542.5381750855977,63.33333333333333,996
-539.9083591680354,-246.4409465847548,-1374.3070367277764,-647.294427114025,-325.5240726403228,-98.3522313185736,39.738380465250955,-1156.009061846445,-972.6976744521847,2.601536617596207,1045.9736012391222,255.12260426468913,-8381.177043277405,-1542.5381750855977,54.44444444444444,996
-1257.5306946292142,-1215.5286643777588,-793.6782792913252,-1290.3177075866179,-1336.7317961696365,-11.425109558229607,-1718.4810013575463,-1423.9499389221062,-20.798031779736984,2.9044570481555043,399.49115402760333,255.12260426468913,-8381.177043277405,-1542.5381750855977,66.88888888888889,996
-1731.0039961092277,-1731.0039961089,-9.86425696216156,-1534.2518508407456,-1770.987031149209,-2390.727044517156,-2232.1207381059694,-1204.0876229548905,-261.16135520101784,3.4868322735154003,399.4911540265524,255.12260426468913,-8381.177043277405,-1542.5381750855977,62.44444444444445,996
-1599.9619048398358,-1248.6707278943334,-630.7555746184723,-1621.806224163793,-1260.5317171152074,-1487.5173709105927,240.83863458008733,-998.5307493937072,167.76596703631878,2.4864016202359434,901.5581251275487,255.12260426468913,-8381.177043277405,-1542.5381750855977,79.0,1897
-1585.1642914689942,-1071.2004880139446,-36.00513919672634,-528.5256737427202,-909.3718765791784,181.20564030883233,-940.478973561198,-915.1709736526757,95.24725907017682,2.8790476784695995,1123.9601845251086,255.12260426468913,-8381.177043277405,-1542.5381750855977,83.88888888888889,1897
