LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-1885.0880250478472,-1420.5029237116305,-1311.002520570909,-1390.5462522999742,-1311.002520570909,-1328.518103049189,-1300.6898166471017,-1542.3127653016784,-1361.029479531416,9.141257982729575,4410.814820117483,-1152.5102260675258,-1808.171581346292,100,-1161.2975188593737
-1815.549788333588,-1310.9102355588298,-1235.8551888612462,-1310.9102355588298,-1235.8551888612462,-1308.8028279009734,-1218.9789808716423,-1475.634353339741,-1277.9599132729911,7.1501009841114165,4491.52633771583,-1152.5102260675258,-1808.171581346292,100,-1158.9352895396944
-2123.20377691136,-1367.8984537909384,-1252.3030680142574,-1357.537656078219,-1252.3030680142574,-1357.537656078219,-1262.0802321043243,-1540.184610225263,-1362.47014268548,8.226815092069526,5106.950970431385,-1152.5102260675258,-1808.171581346292,100,-1179.358608064939
-2025.584255036033,-1184.4711407619952,-1171.6943902233036,-1236.9091717460476,-1171.6943902233077,-1236.9091717460476,-1167.8992003408289,-1342.0972473842337,-1228.47283466471,5.336510938429237,4781.964254293212,-1152.5102260675258,-1808.171581346292,100,-1155.3018050418646
-2029.6596181472687,-1243.468837544131,-1249.8140370985,-1280.4895504510848,-1249.8140370985,-1295.2237847834824,-1170.8638983026326,-1304.6658200319384,-1311.0885081718498,7.172793019018062,4086.345108114612,-1152.5102260675258,-1808.171581346292,100,-1161.6963431535332
-1812.2827149879813,-1642.288528956291,-1575.0723261161386,-1432.1582606308716,-1575.0723261161386,-1274.8184026711865,-1460.890862371383,-1374.57186778438,-1618.2700712072456,8.803015235107765,4060.448694673148,-1152.5102260675258,-1808.171581346292,100,-1228.3784463333047
-1808.7314956052105,-1484.5278122833984,-1344.56040760149,-1400.2052917647627,-1430.4612642118504,-1419.5745455795095,-1330.6054498309409,-1395.6005967446824,-1614.0187355406758,11.638551600791931,3647.606497482029,-1152.5102260675258,-1808.171581346292,100,-1216.7084162384892
-1983.3331934876967,-1309.3510030914404,-1234.4188410428326,-1354.598686012237,-1234.4188410428326,-1352.9040165667564,-1200.584119558136,-1245.8207677269545,-1292.6997937292426,10.785073869983837,4512.561941967525,-1152.5102260675258,-1808.171581346292,100,-1170.7249457482228
-1881.2900462332832,-1225.8640425757978,-1205.9150980863787,-1225.8640425757978,-1205.9150980863787,-1225.8640425757978,-1185.7837623458845,-1608.1679855325249,-1218.9422080206969,4.716650936862823,4804.678369001022,-1152.5102260675258,-1808.171581346292,100,-1223.7014146923482
-2060.1802749000008,-1158.4617766277092,-1184.900734951458,-1209.8289258702384,-1184.9007349514577,-1209.8289258702384,-1154.8755395614292,-1358.762417160856,-1177.9460864466175,5.39966513835447,5126.337949976908,-1152.5102260675258,-1808.171581346292,100,-1157.9883693420252
-1459.9077779234049,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1193.4149444194293,-1152.5102260675228,4.440892098500626e-14,1714.8724686435044,-1152.5102260675258,-1808.171581346292,996,-1152.7671329173434
-1321.2112199243154,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1179.2235510044748,-1152.5102260675228,4.440892098500626e-14,1572.5479089624216,-1152.5102260675258,-1808.171581346292,996,-1152.7671329173434
-1425.2386889125098,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,1143.229823875024,-1152.5102260675258,-1808.171581346292,996,-1152.7671093485942
-1498.835758603665,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,1612.9327510261326,-1152.5102260675258,-1808.171581346292,996,-1152.767224666508
-1355.2442331526372,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1168.6736893029624,-1152.5102260675228,4.440892098500626e-14,1177.8482048363908,-1152.5102260675258,-1808.171581346292,996,-1152.7670542681528
-1260.8773084196646,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1168.6736893029624,-1152.5102260675228,4.440892098500626e-14,1335.734575047121,-1152.5102260675258,-1808.171581346292,996,-1152.767153569133
-1506.767996058128,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,1822.7706189449248,-1152.5102260675258,-1808.171581346292,996,-1152.7671692423119
-1268.096078630822,-1156.3661620820349,-1160.5919576852507,-1168.673689302963,-1160.5919576852507,-1163.084073029187,-1160.810818683345,-1188.8249655549976,-1168.6736893029624,3.067061529352252,1138.673149960795,-1152.5102260675258,-1808.171581346292,996,-1152.7671692423119
-1364.2599186156317,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,1511.6715661130709,-1152.5102260675258,-1808.171581346292,996,-1152.7672271086963
-1240.719003147577,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1168.6736893029624,-1152.5102260675228,4.440892098500626e-14,1155.4258086757698,-1152.5102260675258,-1808.171581346292,996,-1152.7671504172822
-1297.87112978581,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,999.4854746847868,-1152.5102260675258,-1808.171581346292,1897,-1152.7671329173434
-1198.6699521752585,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,472.8287209106256,-1152.5102260675258,-1808.171581346292,1897,-1152.767236005531
-1239.258995620988,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,380.5206635003803,-1152.5102260675258,-1808.171581346292,1897,-1152.7671611343837
-1223.3270121983194,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,502.89905394991285,-1152.5102260675258,-1808.171581346292,1897,-1152.7670542681528
-1196.4175516121331,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,657.3733779191293,-1152.5102260675258,-1808.171581346292,1897,-1152.7670542681528
-1173.0279431567387,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,325.03686841105366,-1152.5102260675258,-1808.171581346292,1897,-1152.7671178277492
-1307.5984255628111,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,594.4639669043323,-1152.5102260675258,-1808.171581346292,1897,-1152.7671329173434
-1188.2358392726146,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,584.207501265189,-1152.5102260675258,-1808.171581346292,1897,-1152.7671329173434
-1201.3697284887394,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,551.9487985127354,-1152.5102260675258,-1808.171581346292,1897,-1152.7671006918886
-1160.8988948312065,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,625.6487337884303,-1152.5102260675258,-1808.171581346292,1897,-1152.7670542681528
-1224.5293653040137,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,296.6445121594931,-1152.5102260675258,-1808.171581346292,2800,-1152.7671329173434
-1225.2790289749605,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,664.2082380897087,-1152.5102260675258,-1808.171581346292,2800,-1152.7671813623542
-1300.72021546071,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,620.616598131469,-1152.5102260675258,-1808.171581346292,2800,-1152.7672434066021
-1166.624682552868,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,356.9388466413081,-1152.5102260675258,-1808.171581346292,2800,-1152.76717317319
-1161.643074395985,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,130.85411076476865,-1152.5102260675258,-1808.171581346292,2800,-1152.7671692423119
-1167.1359816381566,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.5102260675255,-1152.510226067526,-1152.510226067526,-1152.5102260675226,-1152.5102260675228,4.440892098500626e-14,363.16449396545386,-1152.5102260675258,-1808.171581346292,2800,-1152.7671813623542
