ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,LPAL,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-1466.7984524604244,-1571.6839187452606,-1486.498478073565,-1198.7953282370563,-1514.5719901886212,-1051.9706472369985,-1415.3500799807925,3.122762468717087,2598.285967779064,-409.2885788865746,-1568.469683827897,100
-1473.84078554719,-1575.5436018441,-1505.076976793391,-1336.4682731780472,-1532.8592945221624,-885.7626601945659,-1457.9757831157126,3.1281118848251177,2897.0852294250526,-409.2885788865746,-1568.469683827897,100
-1469.200595965678,-1576.2033972505103,-1489.3214541571074,-1346.4814289571548,-1537.260682395859,-906.1511266855608,-1391.6374617165966,3.291991210626626,2647.307737161967,-409.2885788865746,-1568.469683827897,100
-1444.6280452950211,-1575.4595480376702,-1528.435870267519,-1265.883189094536,-1570.3770836109993,-1031.645147017536,-1477.3207558282388,3.1249422870628534,2841.646980056836,-409.2885788865746,-1568.469683827897,100
-1414.646279740681,-1574.965909215525,-1497.0710720654351,-1217.212056011926,-1476.7935009261691,-881.2044549947257,-1396.5479295680905,2.356013336365414,2651.041714559127,-409.2885788865746,-1568.469683827897,100
-1474.5463277781867,-1471.7037465221217,-1463.0809820820725,-1266.032197725157,-1541.308699351267,-1050.3535183965887,-1433.2297608045947,3.123511245280799,3007.271226224279,-409.2885788865746,-1568.469683827897,100
-1469.4028366981033,-1571.1737317908055,-1535.5397967391996,-1125.429599843538,-1565.6073442327713,-1076.3242645107284,-1492.7593527318882,3.1233760693290904,2710.656023500077,-409.2885788865746,-1568.469683827897,100
-1435.21364551347,-1575.0153627628029,-1500.8333839636848,-1217.5512540830964,-1638.9611438604682,-1260.247761481467,-1427.5381061563353,2.3078565776937996,2769.321388852049,-409.2885788865746,-1568.469683827897,100
-1406.9790696511036,-1571.252954358754,-1504.677522325199,-1147.2866960903852,-1573.1757238200903,-1178.9892877889677,-1435.8972079416487,3.123598997268547,2636.768807559225,-409.2885788865746,-1568.469683827897,100
-1427.4328575188295,-1573.2707811658138,-1526.1609988816067,-1262.5241420903785,-1517.0597259583515,-1026.5313456450688,-1455.52839362084,3.124046191086425,2554.1626408748753,-409.2885788865746,-1568.469683827897,100
-1237.0813866693545,-958.7785520700581,-797.3188455011514,-509.08553909655666,-1298.5054193822787,-944.6518641105239,-991.4767804313218,1.7591085068463386,969.5453127104036,-409.2885788865746,-1568.469683827897,996
-1094.232709551723,-1088.4873619258674,-905.9837664106083,-522.0175031207449,-1336.896929796576,-949.1133266534415,-874.9975225299806,1.7559453714970412,837.6016717192857,-409.2885788865746,-1568.469683827897,996
-1314.4811716505437,-752.0301107310629,-645.067572884431,-421.8376280364595,-1357.1366380726417,-934.1041909217902,-1078.3014150489553,1.7595391710626336,767.4517427750662,-409.2885788865746,-1568.469683827897,996
-1340.6161603242306,-493.26109214179496,-487.6419391466544,-412.2341130482471,-1250.5508296428632,-941.4517730859724,-1212.3660789565843,2.293602483293278,637.2525391788329,-409.2885788865746,-1568.469683827897,996
