LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
2477.61908131334,2477.619081313507,2378.571660704294,2342.931512023076,2349.6872709165855,2477.6190813132134,2378.5716606755454,2321.4546277546456,2278.6508135695135,0.9399102324021602,2916.8300977466706,2908.571645456195,2317.653199382272,100
2541.097946529023,2541.097946529161,2372.6770179943874,2381.329591864185,2384.5826157790957,2541.097946529083,2372.677017994499,2316.5608680172695,2268.5861044748494,1.1273733401701802,2916.8300977468257,2908.571645456195,2317.653199382272,100
2503.432679171961,2503.432679171895,2372.749085633751,2373.039632584234,2375.6846525371616,2503.4326791718922,2372.7490856398545,2317.79464941485,2264.3688713456204,1.1169148571944516,2916.830097746831,2908.571645456195,2317.653199382272,100
2401.707560434048,2401.7075604341526,2379.31812477932,2314.4196599602424,2321.7731517809716,2401.7075604342317,2379.3181247793145,2322.8782672356315,2260.27127671887,1.1273826195092858,2916.830097746826,2908.571645456195,2317.653199382272,100
2325.4747828353447,2325.4747828357804,2377.9011432677244,2300.210768635012,2308.541606574865,2325.4747828353547,2377.9011432676907,2317.568673628023,2300.1069844354915,1.1004993621942956,2916.8300977475355,2908.571645456195,2317.653199382272,100
2429.650413311769,2429.6504133117096,2376.3565040684225,2331.2812085704427,2341.5528984874745,2429.6504133113294,2376.356504068422,2325.378616459011,2280.462804726292,1.1273711163533224,2916.8300977466874,2908.571645456195,2317.653199382272,100
2413.124468794265,2413.1244687942935,2377.2406065018613,2331.5528649297153,2337.1180598375404,2413.1244687942662,2377.2406065081186,2316.6791015016806,2262.1670871097494,1.127373308634808,2916.8300977468216,2908.571645456195,2317.653199382272,100
2430.6074569061047,2430.607456907398,2373.521324536677,2334.8850139344104,2340.048593602316,2430.607456910988,2373.521324571262,2319.1086397241556,2258.316252666691,1.1273777845908737,2916.830097746733,2908.571645456195,2317.653199382272,100
2504.9473859762966,2504.94738597618,2377.3789195043914,2375.055483987516,2378.275715383673,2504.947385972626,2377.3789194736323,2314.6406015068146,2265.829493750004,1.1273739717230171,2916.8300977465824,2908.571645456195,2317.653199382272,100
2392.2897324817814,2392.2897324818273,2382.278351875557,2300.1845153009785,2307.9694625432817,2392.2897324783494,2382.2783518853444,2316.7433210698728,2264.7464580042415,1.127846734635785,2916.830097746828,2908.571645456195,2317.653199382272,100
2886.747569555896,2886.0575833903704,2404.725560636036,2753.3973564460193,2751.7690398036707,2884.4244000749613,2404.7255606357367,2325.037787730722,2336.904320446436,0.9399102324023797,853.5070625794115,2908.571645456195,2317.653199382272,996
2792.049359306848,2792.0493593069486,2415.5898996056712,2737.7666747599997,2730.0239383528733,2792.0493593078836,2415.5898996070123,2332.529366260556,2314.831548184866,1.1138158704652263,707.0881693778879,2908.571645456195,2317.653199382272,996
2869.819515921635,2869.819515922235,2434.1812534456717,2778.988354074829,2774.2675601376327,2869.8195159211755,2434.1812534406017,2316.791168608112,2323.3294248252687,1.1271068403700746,707.0881693792686,2908.571645456195,2317.653199382272,996
2687.054251414055,2687.0542514142057,2444.875051208947,2686.9343417811333,2684.5679480072367,2687.0542514142567,2444.8750511995254,2328.1791853372874,2399.8904420527615,1.1273020886480765,707.0881693776521,2908.571645456195,2317.653199382272,996
2786.057913513181,2786.057913513235,2429.5844256111495,2746.543762925424,2738.9432521480085,2786.057913513559,2429.5844256111477,2321.5113840715144,2425.534343094463,1.1273698419049454,707.0881693772094,2908.571645456195,2317.653199382272,996
2801.744997676845,2801.7449976768494,2437.1091194363835,2761.310376021764,2756.410028107488,2801.7449976771622,2437.1091194364894,2330.9908013720956,2428.181510901086,1.1273862128646792,707.0881693776905,2908.571645456195,2317.653199382272,996
2866.8235539224356,2866.823553925814,2419.1880550369965,2774.3089394454046,2772.595590390094,2866.823553925532,2419.1880550330343,2321.5304767921193,2395.226833794072,0.9782742532909903,707.0881693780672,2908.571645456195,2317.653199382272,996
2904.318410979319,2903.7516621712875,2431.7376385636417,2806.50280586093,2802.1886050706244,2864.880039295047,2431.737638563596,2342.11934194084,2389.648195103766,1.1273747263324263,740.1852003105412,2908.571645456195,2317.653199382272,996
