ROIL_LINF,ROIL_LINF_LIN,Epsilon,Optimal,Random,True_Epsilon,LPAL_Rad,LPAL
,,100.0,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,110.31393805897108,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,120.62787611794215,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,130.94181417691323,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,141.2557522358843,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,151.56969029485538,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,161.88362835382642,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,172.1975664127975,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,182.51150447176857,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,192.82544253073965,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,203.13938058971073,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,213.45331864868177,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,223.76725670765285,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,234.08119476662392,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,244.395132825595,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,254.70907088456607,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,265.02300894353715,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,275.3369470025082,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,285.6508850614793,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,295.9648231204504,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,306.27876117942145,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,316.59269923839247,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,326.90663729736355,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,337.2205753563346,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,347.5345134153057,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,357.84845147427677,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,368.16238953324785,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,378.4763275922189,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,388.79026565119,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,399.1042037101611,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,409.41814176913215,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,419.7320798281032,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,430.0460178870743,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,440.3599559460454,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,450.67389400501645,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,460.9878320639875,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,471.3017701229586,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,481.6157081819297,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
,,491.92964624090075,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
166.55301201819304,172.81539831777667,502.2435842998718,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
160.39049949920167,169.13100592276464,512.5575223588429,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
154.22299498419727,165.4457321005125,522.871460417814,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
148.05063510814176,161.76610901117022,533.1853984767849,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
141.8767537644043,158.0873995951705,543.4993365357561,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
135.70087382201916,154.415027927381,553.8132745947271,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
129.5248084589142,150.74674926973586,564.1272126536983,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
123.3483726096555,147.07954658103034,574.4411507126692,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
117.17089888099005,143.41176801042326,584.7550887716404,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
110.99225483220133,139.74783963602766,595.0690268306114,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
104.81287084336958,136.08796959850193,605.3829648895826,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
98.63333838125858,132.4282589128273,615.6969029485535,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
92.45356184733038,128.76924247898154,626.0108410075246,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
86.27374339512536,125.1116232384917,636.3247790664957,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
80.09392488187596,121.45400398878758,646.6387171254668,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
73.91329529611231,117.79638474046479,656.9526551844378,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
67.73223221403364,114.13938389808413,667.2665932434089,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
61.55116922678967,110.48304250761507,677.58053130238,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
56.11533756198596,106.82670113879911,687.8944693613511,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
52.31168886315894,103.17035975096006,698.2084074203221,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
48.51768709057106,99.51401836224903,708.5223454792932,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
44.73011334383794,95.85812556500488,718.8362835382643,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
40.95039612590399,92.20374272751636,729.1502215972354,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
37.1772871962211,88.55029404892613,739.4641596562064,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
33.41065961950271,84.89880328155601,749.7780977151775,488.04453473503014,-684.2588003282235,499.8520651434517,-56.584317181121506,445.72135233813367
