LIN_REG,NBC_REG,GAIL_REG,LPAL_REG,OPT_REG,RAND_REG,WORST_REG,dataset_size
7432.61589475597,13298.13940361694,11664.186484455302,14752.042604785314,14860.198316467198,11612.742622085701,17829.861396009695,2800
7893.526182463082,13503.946062054587,13389.945482029843,15715.408401303841,15780.912512766383,12533.456818384886,17830.967775124816,2800
7789.011747797845,13049.127573341997,12819.188184941151,15558.936454528011,15572.056114601182,12324.600420219685,17830.795303959538,2800
7267.888440435965,12861.42902589736,11797.686802127642,14509.330864130452,14530.2965898865,11282.840895505004,17830.30821395047,3696
7918.778686705346,13810.483473726777,12565.807311503651,15805.58712041036,15832.295997361634,12584.840302980137,17830.089299014104,3696
8051.496735287152,13752.381239082817,13292.035899151875,16103.122689375774,16097.425991197582,12849.970296816085,17830.39540233967,3696
7313.679087298091,12807.055730398575,11933.94777023702,14594.698970423575,14621.918823726082,11374.463129344585,17830.267273835092,3696
7596.646889381308,13284.012128136568,12944.59406921107,15191.768991342562,15188.01319068228,11940.557496300784,17830.10851104538,3696
7190.939241861927,12760.354695319127,11881.330987561509,14307.853459849995,14376.650844235237,11129.19514985374,17830.055562453646,4600
7430.354837813721,12862.220732143605,12331.519061399786,14853.347637605564,14855.222998406596,11607.7673040251,17830.314600185888,4600
7615.630230725167,13202.559411256889,11430.579735103052,15121.993311629003,15225.861664887063,11978.405970505566,17830.226719528317,4600
7609.155584796751,12930.28568610654,12661.79909877044,15114.420779760545,15212.756570652005,11965.300876270509,17830.382521906355,4600
7835.834135314142,12837.61937639124,11541.269702183961,15638.85064285698,15666.212327058742,12418.756632677245,17830.28386653343,4600
7158.75934085543,12738.016393793332,10320.090748092702,14294.484533098499,14312.292407141704,11064.836712760207,17830.05419752735,5496
7193.2599837549515,11909.59536012313,11364.840306898632,14373.438845348985,14381.031408464365,11133.575714082868,17830.316482010545,5496
7382.854080015173,12841.105519560993,13082.673227395166,14764.67807495731,14760.439345147995,11512.983650766499,17830.096737847183,5496
7685.721769846014,13401.797065924264,13054.723900925215,15105.788805811098,15366.314843308237,12118.85914892674,17829.95661934871,5496
7438.5846494326615,12670.240458342218,12549.161467025187,14860.07165424593,14871.702196770377,11624.24650238888,17830.29502505846,5496
7119.230135919465,12495.726916963933,11211.76077521461,14237.106196764344,14233.233997276488,10985.77830289499,17830.054197527435,6400
7368.661157834487,13073.779999638165,12254.119589316057,14641.625213916512,14732.34137578681,11484.885681405312,17829.808862845683,6400
7582.147787157073,12393.137528699972,11857.427673656024,15112.047775568544,15158.785610295337,11911.32991591384,17830.337886982736,6400
7789.973987498101,13331.459863588132,13448.063427298655,15569.358052608455,15574.570240915216,12327.11454653372,17830.205657023984,6400
7694.563333523596,13071.350005512792,13290.856113625932,15304.578552551466,15383.752145876178,12136.296451494682,17830.20244413605,6400
7107.049340421202,12383.137020279926,11121.518073752639,14214.35900993515,14208.938591107042,10961.482896725545,17829.988012700407,7296
7423.857281570242,12629.220341981545,11659.7750702542,14803.599854201642,14842.58370108699,11595.128006705492,17829.958785018523,7296
7395.996364355815,12917.426979400776,11440.4468694237,14778.845028081294,14786.729609290698,11539.273914909201,17830.091042385076,7296
7327.604559344522,12724.221948907387,12852.972649686792,14658.827733347716,14650.791722890835,11403.336028509339,17829.24531876324,7296
7748.913233623981,13427.96212293524,12678.839961141579,15468.933733533822,15492.762752686882,12245.307058305385,17829.891637526125,7296
7077.94885198651,12436.39162564003,11040.857023106968,14154.974433075533,14150.750826651662,10903.295132270165,17829.974800286334,8199
7793.682415390541,13531.046705816438,12826.867634434333,15570.249659863772,15581.970047416326,12334.514353034829,17830.222706329776,8199
7565.832432803727,12766.007338519996,12931.563096814998,15108.823866464796,15126.271813653324,11878.816119271827,17830.22097491915,8199
7425.378150525576,13428.057381493027,12330.282692944844,14851.886375708687,14845.933361042325,11598.477666660829,17829.65086297387,8199
7265.425126721915,12067.348750699844,11842.022836713952,14517.17687113819,14525.478646492584,11278.022952111087,17830.19952991628,8199
7595.794228653485,12923.52091498128,11915.464754240269,15148.948845128052,15186.17482961746,11938.719135235962,17830.24155065456,9099
7025.306389177192,12204.431509055934,11522.479435468995,14048.732068657586,14045.492522536639,10798.036828155142,17829.948178782764,9099
7471.505560314925,12805.117428150425,12069.989220195816,14926.624583512175,14937.632888679385,11690.177194297888,17830.206154915373,9099
6961.949556794456,12360.862806458455,10876.67655716792,13791.871310331118,13918.526387479022,10671.070693097525,17830.200649074926,9099
7224.2905265829395,12862.676912067876,11753.388985318266,14367.048985446598,14443.380392677282,11195.924698295785,17830.028583453626,9099
7317.610066126918,12627.555218290157,12452.269494056529,14579.424600765116,14629.986243724656,11382.530549343159,17830.061811494208,9999
7160.950377845872,12677.10411319124,10934.547126872754,14250.059109394704,14316.62235461353,11069.166660232033,17830.106324043198,9999
7079.353976384559,12577.173110599673,11726.54988552514,14160.194305411858,14153.648602254385,10906.192907872888,17829.887273479762,9999
7157.0417499159,12389.725685569872,10930.929269481803,14307.373288551516,14308.718676228296,11061.2629818468,17830.19274656845,9999
7371.7853882606705,12646.49407951291,10896.703323754275,14715.275824830655,14738.446960162317,11490.99126578082,17829.951739323675,9999
