LIN_REG,ROIL_P_REG,NBC_REG,GAIL_REG,LPAL_REG,OPT_REG,RAND_REG,WORST_REG,dataset_size
9724.553200926935,11638.08444000312,15656.379114801279,14403.868789205484,18937.26881815451,19322.86961462942,14525.695959549379,20375.85448127242,100
8427.724681096712,16141.519691512834,13364.426159281105,11964.353339082376,16384.639922962553,16770.240719437388,11973.067064357347,20334.82633680396,100
9561.974592491128,18415.914144760838,15171.485418305903,13702.872293397708,18610.811048467996,18996.411844942857,14199.238189862815,20377.155034087307,100
8397.334163773945,16437.667165224557,13901.438647156043,11702.847299889338,16343.779159883828,16729.3799563587,11932.20630127866,20314.906065237137,100
8716.127193421054,16611.90604895291,14250.192932233982,12858.90907487104,16934.051892817544,17319.652689292412,12522.47903421237,20362.219391597668,100
6210.11056976649,7236.641412458962,10783.108623605458,9877.279434030483,12378.961260576854,12337.40911852388,7540.235463443836,20332.429715057056,996
5545.148934413256,10933.363141373307,9802.01959935797,7568.60356397229,11056.460262787872,11006.836881249466,6209.663226169423,20333.07868162502,996
6365.138160703163,12548.208654618029,11166.560161131896,10208.754960471832,12418.759562854111,12643.176152162621,7846.002497082578,20336.71786329166,996
6503.721276545956,12730.083344981793,10844.218521370214,11000.02474938055,12850.228628543851,12907.662287249479,8110.488632169436,20349.39795989041,996
6768.628091148213,13313.259516928796,11739.32747638654,10671.237804012937,13521.911245283363,13469.855360909229,8672.681705829185,20317.018515434036,996
5690.87374566585,11178.022395499405,10128.455178571234,8179.077980843851,11344.263653722664,11301.841502970143,6504.667847890099,20329.523682409534,1897
5799.127016725474,6674.792390727061,10277.462150831976,9049.946055873035,11413.841886272381,11510.954504971492,6713.780849891449,20336.91722252743,1897
5060.063480046255,9976.292483161747,9229.37523173877,6141.955427919057,10087.076006821613,10044.266060953601,5247.092405873558,20325.47859318689,1897
4157.820568780029,8224.572819919791,7448.135717253579,6296.84217980811,8317.701285040388,8272.289125106136,4840.525667533853,20292.96970650179,1897
2313.5989202319656,4414.139091407533,4069.0141098191752,3703.476607501311,4478.514654376353,4587.066889965687,4837.304605576676,20289.748644544612,1897
5510.2256835232365,10812.97141620137,9747.874012827857,9097.223988120299,10971.451724717932,10940.545378684803,6143.37172360476,20329.523682409566,2800
5712.648972051496,11277.168773620586,9896.13930530267,9196.319809815348,11235.841153537709,11336.771308991541,6539.597653911498,20338.144329159426,2800
5224.4306141402485,10329.807069790222,9535.562811750911,8305.755564727635,10388.956178778248,10372.744871865814,5575.571216785771,20325.734050462637,2800
5324.7805857598405,10511.485620764723,9118.602602002913,8036.568711978924,10445.03176412374,10565.662845253744,5768.489190173701,20333.516020313917,2800
5164.945621652005,10196.91019760633,8971.021387500381,6317.796230343893,10241.799365984829,10255.758136980188,5458.584481900145,20323.750800371796,2800
5385.511797834054,10570.403084875996,9401.508821978556,6770.834043691006,10736.387741576238,10691.11760730653,5893.943952226487,20329.52368240953,3696
